name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
grove mountains 052822,48368,valid,l6,0.77,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052829,50464,valid,l6,3.35,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052833,50465,valid,l6,1.56,found,2006.0,-72.77528,75.35361,"-72.77528, 75.35361",-72.77528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052834,48369,valid,h5,2.62,found,2006.0,-72.964722,75.216389,"-72.964722, 75.216389",-72.964722,75.216389,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052835,48370,valid,h5,1.77,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052860,48371,valid,l6,1.6,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052861,50466,valid,l6,2.95,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052862,50467,valid,l6,1.58,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052863,48372,valid,l5,1.3,found,2006.0,-72.778056,75.337222,"-72.778056, 75.337222",-72.778056,75.337222,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052869,48373,valid,l5,0.83,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052871,48374,valid,l6,0.75,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052872,50468,valid,l6,0.51,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052881,50469,valid,l6,8.35,found,2006.0,-72.77528,75.35361,"-72.77528, 75.35361",-72.77528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052882,46486,valid,l6,4.36,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052883,48375,valid,l5,0.95,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052884,48376,valid,l6,1.83,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052885,46487,valid,l6,7.79,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052886,50470,valid,l5,5.16,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052887,50471,valid,l5,2.51,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052888,50472,valid,l6,2.58,found,2006.0,-72.82528,75.35361,"-72.82528, 75.35361",-72.82528,75.35361,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052889,48377,valid,l6,1.56,found,2006.0,-72.778056,75.334722,"-72.778056, 75.334722",-72.778056,75.334722,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052892,48378,valid,l6,5.27,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052894,48379,valid,l6,5.07,found,2006.0,-72.825278,75.353611,"-72.825278, 75.353611",-72.825278,75.353611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052896,50473,valid,l5,2.8,found,2006.0,-72.82528,75.3536,"-72.82528, 75.3536",-72.82528,75.3536,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052904,46488,valid,l6,474.0,found,2006.0,-72.77833,75.31972,"-72.77833, 75.31972",-72.77833,75.31972,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052905,50474,valid,l6,359.0,found,2006.0,-72.77917,75.31667,"-72.77917, 75.31667",-72.77917,75.31667,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052910,46489,valid,l5,53.51,found,2006.0,-72.77917,75.31667,"-72.77917, 75.31667",-72.77917,75.31667,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052911,48380,valid,l5,28.12,found,2006.0,-72.777778,75.332222,"-72.777778, 75.332222",-72.777778,75.332222,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052912,50475,valid,l5,19.02,found,2006.0,-72.77861,75.3178,"-72.77861, 75.3178",-72.77861,75.3178,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052913,50476,valid,l5,15.48,found,2006.0,-72.77917,75.31667,"-72.77917, 75.31667",-72.77917,75.31667,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052914,48381,valid,l5,20.32,found,2006.0,-72.779167,75.316389,"-72.779167, 75.316389",-72.779167,75.316389,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052917,48382,valid,l6,1.19,found,2006.0,-72.779167,75.316667,"-72.779167, 75.316667",-72.779167,75.316667,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052919,48383,valid,l5,1.46,found,2006.0,-72.783889,75.308889,"-72.783889, 75.308889",-72.783889,75.308889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052920,48384,valid,l5,0.94,found,2006.0,-72.780556,75.313611,"-72.780556, 75.313611",-72.780556,75.313611,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052934,48385,valid,l6,2.86,found,2006.0,-72.777778,75.3325,"-72.777778, 75.3325",-72.777778,75.3325,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052935,50477,valid,l6,2.56,found,2006.0,-72.77833,75.29972,"-72.77833, 75.29972",-72.77833,75.29972,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052938,48386,valid,l6,0.74,found,2006.0,-72.780278,75.286667,"-72.780278, 75.286667",-72.780278,75.286667,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052946,48387,valid,l6,1.4,found,2006.0,-72.781389,75.297222,"-72.781389, 75.297222",-72.781389,75.297222,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052957,48388,valid,l6,0.76,found,2006.0,-72.777222,75.337778,"-72.777222, 75.337778",-72.777222,75.337778,1,True,2000.0,21.0,tiny,found,south,east,valid
