recclass,nametype,fall,fall_found_flag,classification_key
"iron, iic",valid,found,found,293
c1-ung,valid,found,found,294
cba,valid,found,found,295
h5-an,valid,found,found,296
eh4/5,valid,found,found,297
"iron, iiif",valid,found,found,298
r3-6,valid,found,found,299
mesosiderite-b4,valid,found,found,300
l6/7,valid,found,found,301
relict h,relict,found,found,302
l-imp melt,valid,found,found,303
ck3,valid,found,found,304
h3-an,valid,found,found,305
h?,valid,found,found,306
"iron, ivb",valid,found,found,307
r3.8,valid,found,found,308
l~5,valid,found,found,309
h4-an,valid,found,found,310
mesosiderite-an,valid,found,found,311
mesosiderite-a2,valid,found,found,312
"pallasite, pes",valid,found,found,313
"iron, iie",valid,found,found,314
unknown,valid,found,found,315
c4-ung,valid,found,found,316
"iron, iif",valid,found,found,317
mesosiderite-a1,valid,found,found,318
"iron, iab?",valid,found,found,319
mesosiderite-a,valid,found,found,320
r3.5-6,valid,found,found,321
ll3-6,valid,found,found,322
h3.9-6,valid,found,found,323
c3-ung,valid,found,found,324
l3-4,valid,found,found,325
ureilite-pmict,valid,found,found,326
ll~6,valid,found,found,327
ck4/5,valid,found,found,328
el4,valid,found,found,329
h3/4,valid,found,found,330
lunar (feldsp. breccia),valid,found,found,331
l3.9-6,valid,found,found,332
h-an,valid,found,found,333
l/ll3-6,valid,found,found,334
l/ll3-5,valid,found,found,335
h/l3.5,valid,found,found,336
h/l3,valid,found,found,337
h3-4,valid,found,found,338
r3-4,valid,found,found,339
ck3-an,valid,found,found,340
ll4-5,valid,found,found,341
h/l6,valid,found,found,342
l3/4,valid,found,found,343
h-imp melt,valid,found,found,344
cr,valid,found,found,345
chondrite-fusion crust,relict,found,found,346
"iron, iab-slh",valid,found,found,347
"iron, iiiab-an",valid,found,found,348
h(l)3-an,valid,found,found,349
l(ll)3,valid,found,found,350
h(l)3,valid,found,found,351
